id,name,description,themes,genre
1010435,beethoven 2nd,"beethoven is back and this time , he ha a whole brood with him now that he met his canine match , missy , and fathered a family . the only problem is that missy owner , regina , want to sell the puppy and tear the clan apart . it up to beethoven and the newton kid to save the day and keep everyone together .","crude humor and satire , adorable animal and heartwarming family , kid animated fun and adventure",Comedy
1002402,101 dalmatian,"the live action adaptation of a disney classic . when a litter of dalmatian puppy are abducted by the minion of cruella de vil , the parent must find them before she us them for a diabolical fashion statement .","kid animated fun and adventure , adorable animal and heartwarming family , gag , joke , and slapstick humor , fairytale fantasy and enchanted magic , holiday joy and heartwarming christmas",Comedy
1010070,the curse of the jade scorpion,"cw briggs is a veteran insurance investigator , with many success . betty ann fitzgerald is a new employee in the company he work for , with the task of reorganizing the office . they dont like each other or at least thats what they think . during a night out with the rest of the office employee , they go to watch voltan , a magician who secretly hypnotizes both of them .","crude humor and satire , relationship comedy , thriller and murder mystery , gag , joke , and slapstick humor , laughoutloud relationship entanglement , catchy song and hilarious musical comedy , amusing joke and witty satire , funny joke and crude humor",Comedy
1002669,leap year,"when yet another anniversary pass without a marriage proposal from her boyfriend , anna decides to take action . aware of a celtic tradition that allows woman to pop the question on feb. 29 , she plan to follow her lover to dublin and ask him to marry her . fate ha other plan , however , and anna wind up on the other side of the emerald isle with handsome , but surly , declan an irishman who may just lead anna down the road to true love .","relationship comedy , crude humor and satire , charming romance and delightful chemistry , laughoutloud relationship entanglement , captivating relationship and charming romance , passion and romance",Comedy
1001401,liar liar,"fletcher reede is a fasttalking attorney and habitual liar . when his son max blow out the candle on his fifth birthday he ha just one wish that his dad will stop lying for 24 hour . when max wish come true , fletcher discovers that his mouth ha suddenly become his biggest liability .","crude humor and satire , relationship comedy , gag , joke , and slapstick humor , funny joke and crude humor , amusing joke and witty satire , laughoutloud relationship entanglement , quirky and endearing relationship",Comedy
1000277,booksmart,"two academic teenage superstar realize , on the eve of their high school graduation , that they should have worked le and played more . determined to never fall short of their peer , the girl set out on a mission to cram four year of fun into one night .","crude humor and satire , underdog and coming of age , relationship comedy , teen school antic and laughter , funny joke and crude humor , laughoutloud relationship entanglement , gag , joke , and slapstick humor , quirky and endearing relationship",Comedy
1020302,boo 2 ! a madea halloween,"madea and the gang encounter monster , goblin and boogeyman at a haunted campground .","crude humor and satire , funny joke and crude humor , spooky , scary comedy , teen school antic and laughter , gag , joke , and slapstick humor",Comedy
1012760,leprechaun return,a group of unwitting sorority sister accidentally awaken the serialkilling leprechaun after they build a sorority house on his hunting ground .,"horror , the undead and monster classic , crude humor and satire , spooky , scary comedy , gory , gruesome , and slasher horror , teen school antic and laughter , gag , joke , and slapstick humor , scifi horror , creature , and alien",Comedy
1026547,extreme movie,a sketch comedy movie about the joy and embarrassment of teen sex . but mostly the embarrassment .,"crude humor and satire , funny joke and crude humor , teen school antic and laughter , gag , joke , and slapstick humor",Comedy
1017570,easter sunday,"a man return home for an easter celebration with his riotous , bickering , eating , drinking , laughing , loving family , in this love letter to the filipinoamerican community .","crude humor and satire , gag , joke , and slapstick humor , funny joke and crude humor , amusing joke and witty satire , quirky and endearing relationship , catchy song and hilarious musical comedy",Comedy
1009509,gentleman bronco,a teenager attends a fantasy writer convention where he discovers his idea ha been stolen by an established novelist .,"crude humor and satire , funny joke and crude humor , gag , joke , and slapstick humor , amusing joke and witty satire , action comedy and silly heroic , teen school antic and laughter",Comedy
1000786,scary movie,"following on the heel of popular teenscream horror movie , with uproarious comedy and biting satire . marlon and shawn wayans , shannon elizabeth and carmen electra pitch in to skewer some of hollywood biggest blockbuster , including scream , i know what you did last summer , the matrix , american pie and the blair witch project .","crude humor and satire , underdog and coming of age , funny joke and crude humor , gag , joke , and slapstick humor , amusing joke and witty satire , spooky , scary comedy , teen school antic and laughter",Comedy
1009770,the lost king,"an amateur historian defies the academic establishment in her effort to find king richard iii remains , which were lost for over 500 year .","moving relationship story , lavish drama and sumptuous royalty",Comedy
1007100,a lot like love,"on a flight from los angeles to new york , oliver and emily make a connection , only to decide that they are poorly suited to be together . over the next seven year , however , they are reunited time and time again , they go from being acquaintance to close friend to ... lover ?","relationship comedy , moving relationship story , laughoutloud relationship entanglement , quirky and endearing relationship , charming romance and delightful chemistry , catchy song and hilarious musical comedy , dance rhythm and catchy tune",Comedy
1022787,love to hate you,"for an attorney who despises losing to men and an alist actor who distrust woman , love mean nothing until theyre forced to date each other .","relationship comedy , charming romance and delightful chemistry , laughoutloud relationship entanglement , captivating relationship and charming romance",Comedy
1001136,office space,three office worker strike back at their evil employer by hatching a hapless attempt to embezzle money .,"crude humor and satire , funny joke and crude humor , gag , joke , and slapstick humor , amusing joke and witty satire , laughoutloud relationship entanglement , catchy song and hilarious musical comedy",Comedy
1001288,happiest season,a young woman plan to propose to her girlfriend while at her family annual holiday party are upended when she discovers her partner hasnt yet come out to her conservative parent .,"relationship comedy , moving relationship story , laughoutloud relationship entanglement , touching and sentimental family story , quirky and endearing relationship , charming romance and delightful chemistry , emotional lgbtq relationship",Comedy
